"INFORMATION TYPE","NETWORK","DATE","PERIOD","PRICE ($/MWh)"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","1","96.48"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","2","94.33"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","3","91.47"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","4","94.42"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","5","94.15"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","6","93.34"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","7","90.35"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","8","87.90"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","9","87.41"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","10","85.44"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","11","87.41"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","12","87.51"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","13","87.51"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","14","87.41"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","15","87.51"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","16","87.41"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","17","89.50"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","18","94.03"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","19","93.83"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","20","95.04"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","21","98.92"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","22","94.18"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","23","92.03"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","24","91.90"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","25","90.86"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","26","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","27","90.81"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","28","90.86"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","29","91.55"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","30","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","31","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","32","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","33","90.02"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","34","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","35","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","36","90.02"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","37","90.52"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","38","92.04"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","39","97.28"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","40","101.55"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","41","101.65"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","42","109.93"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","43","110.99"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","44","101.55"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","45","92.03"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","46","92.02"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","47","94.32"
"MEP","AGCEXXON : EXXON : EXON G3","02 Sep 2018","48","92.35"
